,City,Population,Restaurant Count,Ratio
7,New Britain,72767.0,1.0,72767.0
11,Hamden,60982.0,1.0,60982.0
4,Waterbury,108276.0,2.0,54138.0
18,East Hartford,50272.0,1.0,50272.0
0,Bridgeport,145639.0,3.0,48546.333333333336
20,Wallingford,44596.0,1.0,44596.0
22,Southington,43781.0,1.0,43781.0
23,Shelton,41141.0,1.0,41141.0
27,Glastonbury,34564.0,1.0,34564.0
38,New Milford,27014.0,1.0,27014.0
39,New London,26966.0,1.0,26966.0
41,South Windsor,25898.0,1.0,25898.0
45,Simsbury,24799.0,1.0,24799.0
3,Hartford,123088.0,5.0,24617.6
48,Guilford,22216.0,1.0,22216.0
50,Darien,21742.0,1.0,21742.0
51,Bloomfield,21022.0,1.0,21022.0
9,Greenwich,62587.0,3.0,20862.333333333332
52,Berlin,20484.0,1.0,20484.0
13,Meriden,59676.0,3.0,19892.0
56,Bethel,19663.0,1.0,19663.0
57,Monroe,19546.0,1.0,19546.0
2,Stamford,129309.0,7.0,18472.714285714286
16,Milford,54328.0,3.0,18109.333333333332
66,Plainville,17619.0,1.0,17619.0
28,Torrington,34489.0,2.0,17244.5
5,Norwalk,88599.0,6.0,14766.5
31,Vernon,29232.0,2.0,14616.0
33,Windsor,28859.0,2.0,14429.5
35,Branford,28020.0,2.0,14010.0
37,Newtown,27822.0,2.0,13911.0
24,Norwich,39260.0,3.0,13086.666666666666
40,Wethersfield,26171.0,2.0,13085.5
1,New Haven,130331.0,10.0,13033.1
25,Groton,38825.0,3.0,12941.666666666666
10,Fairfield,61740.0,5.0,12348.0
19,Middletown,46511.0,4.0,11627.75
14,Manchester,57805.0,5.0,11561.0
6,Danbury,84619.0,8.0,10577.375
54,Rocky Hill,20168.0,2.0,10084.0
36,Westport,28016.0,3.0,9338.666666666666
64,Avon,18312.0,2.0,9156.0
8,West Hartford,63063.0,9.0,7007.0
84,Windsor Locks,12671.0,2.0,6335.5
96,Old Saybrook,10090.0,2.0,5045.0
47,North Haven,23722.0,5.0,4744.4
79,Orange,13934.0,4.0,3483.5
